a,b,expr,sum
433,591,433+591,1024
774,47,774+47,821
609,834,609+834,1443
720,443,720+443,1163
941,768,941+768,1709
531,163,531+163,694
960,17,960+17,977
787,873,787+873,1660
87,280,87+280,367
818,232,818+232,1050
942,818,942+818,1760
173,458,173+458,631
72,310,72+310,382
443,536,443+536,979
781,253,781+253,1034
502,244,502+244,746
576,494,576+494,1070
47,206,47+206,253
909,861,909+861,1770
322,309,322+309,631
921,385,921+385,1306
83,403,83+403,486
922,304,922+304,1226
676,426,676+426,1102
190,453,190+453,643
326,842,326+842,1168
801,392,801+392,1193
142,835,142+835,977
814,473,814+473,1287
636,740,636+740,1376
680,45,680+45,725
749,914,749+914,1663
479,465,479+465,944
753,560,753+560,1313
129,32,129+32,161
781,162,781+162,943
919,289,919+289,1208
812,859,812+859,1671
613,990,613+990,1603
614,485,614+485,1099
760,121,760+121,881
704,669,704+669,1373
143,455,143+455,598
115,715,115+715,830
473,106,473+106,579
823,177,823+177,1000
211,937,211+937,1148
767,822,767+822,1589
678,898,678+898,1576
606,861,606+861,1467
748,2,748+2,750
766,140,766+140,906
618,100,618+100,718
791,526,791+526,1317
566,409,566+409,975
947,125,947+125,1072
830,199,830+199,1029
384,722,384+722,1106
835,199,835+199,1034
246,736,246+736,982
364,30,364+30,394
438,518,438+518,956
505,738,505+738,1243
541,953,541+953,1494
652,360,652+360,1012
445,999,445+999,1444
690,665,690+665,1355
185,421,185+421,606
183,786,183+786,969
332,959,332+959,1291
207,224,207+224,431
331,96,331+96,427
64,890,64+890,954
301,995,301+995,1296
328,852,328+852,1180
842,567,842+567,1409
237,477,237+477,714
380,36,380+36,416
651,925,651+925,1576
471,623,471+623,1094
975,872,975+872,1847
92,178,92+178,270
487,364,487+364,851
65,681,65+681,746
341,816,341+816,1157
991,318,991+318,1309
615,906,615+906,1521
247,269,247+269,516
731,750,731+750,1481
360,126,360+126,486
993,675,993+675,1668
22,979,22+979,1001
432,593,432+593,1025
387,674,387+674,1061
957,956,957+956,1913
839,166,839+166,1005
930,332,930+332,1262
567,744,567+744,1311
829,867,829+867,1696
835,454,835+454,1289
675,586,675+586,1261
456,645,456+645,1101
441,865,441+865,1306
330,437,330+437,767
354,965,354+965,1319
397,664,397+664,1061
999,762,999+762,1761
709,81,709+81,790
920,400,920+400,1320
786,54,786+54,840
354,259,354+259,613
764,759,764+759,1523
292,113,292+113,405
712,750,712+750,1462
276,931,276+931,1207
595,428,595+428,1023
629,839,629+839,1468
597,603,597+603,1200
255,650,255+650,905
922,787,922+787,1709
981,567,981+567,1548
880,968,880+968,1848
246,852,246+852,1098
958,620,958+620,1578
673,950,673+950,1623
164,500,164+500,664
735,245,735+245,980
66,935,66+935,1001
983,798,983+798,1781
585,898,585+898,1483
345,551,345+551,896
511,221,511+221,732
551,610,551+610,1161
668,389,668+389,1057
738,139,738+139,877
366,556,366+556,922
206,511,206+511,717
539,954,539+954,1493
513,788,513+788,1301
115,223,115+223,338
879,764,879+764,1643
224,756,224+756,980
175,925,175+925,1100
867,585,867+585,1452
955,379,955+379,1334
543,78,543+78,621
257,442,257+442,699
689,626,689+626,1315
780,74,780+74,854
875,828,875+828,1703
611,288,611+288,899
901,487,901+487,1388
577,910,577+910,1487
467,338,467+338,805
464,542,464+542,1006
302,572,302+572,874
385,615,385+615,1000
392,364,392+364,756
38,112,38+112,150
663,370,663+370,1033
776,402,776+402,1178
669,666,669+666,1335
709,865,709+865,1574
219,708,219+708,927
225,308,225+308,533
677,678,677+678,1355
127,216,127+216,343
400,862,400+862,1262
432,939,432+939,1371
379,919,379+919,1298
961,288,961+288,1249
138,236,138+236,374
249,77,249+77,326
779,131,779+131,910
905,641,905+641,1546
865,87,865+87,952
455,792,455+792,1247
154,637,154+637,791
581,608,581+608,1189
300,241,300+241,541
234,1,234+1,235
201,900,201+900,1101
962,236,962+236,1198
290,680,290+680,970
581,794,581+794,1375
16,209,16+209,225
348,330,348+330,678
750,365,750+365,1115
864,59,864+59,923
381,446,381+446,827
190,166,190+166,356
155,765,155+765,920
920,936,920+936,1856
706,314,706+314,1020
856,31,856+31,887
897,635,897+635,1532
707,609,707+609,1316
244,230,244+230,474
114,353,114+353,467
587,1,587+1,588
460,28,460+28,488
176,269,176+269,445
532,185,532+185,717
188,951,188+951,1139
887,220,887+220,1107
155,301,155+301,456
680,939,680+939,1619
762,807,762+807,1569
256,261,256+261,517
408,339,408+339,747
915,395,915+395,1310
872,387,872+387,1259
402,951,402+951,1353
648,383,648+383,1031
225,425,225+425,650
231,177,231+177,408
980,60,980+60,1040
691,221,691+221,912
588,921,588+921,1509
2,308,2+308,310
558,908,558+908,1466
154,434,154+434,588
554,885,554+885,1439
528,78,528+78,606
347,700,347+700,1047
192,972,192+972,1164
757,946,757+946,1703
733,694,733+694,1427
484,912,484+912,1396
175,997,175+997,1172
800,563,800+563,1363
241,123,241+123,364
212,548,212+548,760
602,488,602+488,1090
68,48,68+48,116
699,504,699+504,1203
151,157,151+157,308
834,129,834+129,963
717,139,717+139,856
366,517,366+517,883
795,565,795+565,1360
399,974,399+974,1373
444,290,444+290,734
617,277,617+277,894
225,444,225+444,669
300,47,300+47,347
87,925,87+925,1012
536,295,536+295,831
129,92,129+92,221
460,477,460+477,937
512,143,512+143,655
700,688,700+688,1388
974,63,974+63,1037
56,32,56+32,88
710,34,710+34,744
837,738,837+738,1575
215,607,215+607,822
540,230,540+230,770
54,242,54+242,296
861,868,861+868,1729
310,82,310+82,392
742,885,742+885,1627
638,917,638+917,1555
210,328,210+328,538
165,155,165+155,320
395,797,395+797,1192
971,970,971+970,1941
210,859,210+859,1069
790,900,790+900,1690
366,708,366+708,1074
54,81,54+81,135
967,760,967+760,1727
128,378,128+378,506
601,261,601+261,862
665,477,665+477,1142
706,141,706+141,847
670,798,670+798,1468
325,267,325+267,592
982,236,982+236,1218
895,35,895+35,930
752,603,752+603,1355
302,176,302+176,478
272,277,272+277,549
902,446,902+446,1348
552,334,552+334,886
402,396,402+396,798
947,872,947+872,1819
414,382,414+382,796
46,886,46+886,932
349,263,349+263,612
221,696,221+696,917
581,367,581+367,948
83,493,83+493,576
80,530,80+530,610
214,5,214+5,219
653,477,653+477,1130
944,320,944+320,1264
682,854,682+854,1536
120,467,120+467,587
636,917,636+917,1553
613,26,613+26,639
35,977,35+977,1012
203,729,203+729,932
616,605,616+605,1221
99,701,99+701,800
893,53,893+53,946
436,8,436+8,444
635,731,635+731,1366
482,403,482+403,885
495,227,495+227,722
868,984,868+984,1852
16,360,16+360,376
902,734,902+734,1636
209,212,209+212,421
867,703,867+703,1570
43,264,43+264,307
728,541,728+541,1269
433,28,433+28,461
835,264,835+264,1099
872,405,872+405,1277
972,276,972+276,1248
364,650,364+650,1014
207,703,207+703,910
651,107,651+107,758
817,684,817+684,1501
127,558,127+558,685
56,391,56+391,447
802,512,802+512,1314
847,318,847+318,1165
824,473,824+473,1297
637,61,637+61,698
16,784,16+784,800
291,802,291+802,1093
808,475,808+475,1283
151,787,151+787,938
89,834,89+834,923
835,21,835+21,856
583,566,583+566,1149
395,467,395+467,862
187,159,187+159,346
93,577,93+577,670
895,374,895+374,1269
649,171,649+171,820
749,622,749+622,1371
601,358,601+358,959
839,797,839+797,1636
835,295,835+295,1130
790,919,790+919,1709
700,444,700+444,1144
955,402,955+402,1357
537,525,537+525,1062
356,264,356+264,620
389,326,389+326,715
234,325,234+325,559
706,923,706+923,1629
422,758,422+758,1180
641,308,641+308,949
747,120,747+120,867
399,696,399+696,1095
884,868,884+868,1752
13,968,13+968,981
54,214,54+214,268
261,885,261+885,1146
1,894,1+894,895
754,537,754+537,1291
710,296,710+296,1006
203,305,203+305,508
978,481,978+481,1459
23,60,23+60,83
940,264,940+264,1204
259,237,259+237,496
86,262,86+262,348
504,900,504+900,1404
127,974,127+974,1101
456,669,456+669,1125
296,865,296+865,1161
294,469,294+469,763
956,83,956+83,1039
614,627,614+627,1241
723,57,723+57,780
446,995,446+995,1441
928,14,928+14,942
160,589,160+589,749
300,54,300+54,354
957,329,957+329,1286
645,209,645+209,854
375,87,375+87,462
274,585,274+585,859
923,304,923+304,1227
625,935,625+935,1560
992,999,992+999,1991
6,244,6+244,250
349,222,349+222,571
344,604,344+604,948
962,288,962+288,1250
832,271,832+271,1103
184,806,184+806,990
904,740,904+740,1644
350,537,350+537,887
199,20,199+20,219
554,455,554+455,1009
212,710,212+710,922
846,517,846+517,1363
343,338,343+338,681
546,250,546+250,796
409,302,409+302,711
726,452,726+452,1178
730,842,730+842,1572
743,130,743+130,873
643,270,643+270,913
804,282,804+282,1086
98,901,98+901,999
917,833,917+833,1750
403,315,403+315,718
445,824,445+824,1269
153,543,153+543,696
720,108,720+108,828
197,276,197+276,473
373,279,373+279,652
469,469,469+469,938
81,184,81+184,265
150,87,150+87,237
298,587,298+587,885
510,948,510+948,1458
735,293,735+293,1028
739,941,739+941,1680
400,753,400+753,1153
916,7,916+7,923
500,563,500+563,1063
814,961,814+961,1775
666,278,666+278,944
694,917,694+917,1611
249,246,249+246,495
876,460,876+460,1336
146,587,146+587,733
9,923,9+923,932
72,585,72+585,657
388,610,388+610,998
58,483,58+483,541
772,54,772+54,826
810,677,810+677,1487
590,60,590+60,650
480,537,480+537,1017
10,420,10+420,430
688,679,688+679,1367
288,598,288+598,886
889,720,889+720,1609
836,434,836+434,1270
300,229,300+229,529
178,14,178+14,192
156,465,156+465,621
48,396,48+396,444
867,726,867+726,1593
548,767,548+767,1315
6,812,6+812,818
9,799,9+799,808
614,857,614+857,1471
719,523,719+523,1242
473,131,473+131,604
135,226,135+226,361
717,72,717+72,789
840,445,840+445,1285
290,99,290+99,389
437,727,437+727,1164
115,551,115+551,666
100,880,100+880,980
127,541,127+541,668
472,475,472+475,947
746,914,746+914,1660
961,396,961+396,1357
859,691,859+691,1550
393,819,393+819,1212
20,729,20+729,749
729,822,729+822,1551
341,120,341+120,461
897,694,897+694,1591
500,523,500+523,1023
570,112,570+112,682
523,529,523+529,1052
747,878,747+878,1625
673,423,673+423,1096
750,573,750+573,1323
903,314,903+314,1217
679,251,679+251,930
177,183,177+183,360
800,541,800+541,1341
757,936,757+936,1693
500,817,500+817,1317
238,575,238+575,813
28,855,28+855,883
483,372,483+372,855
814,975,814+975,1789
998,673,998+673,1671
518,399,518+399,917
904,370,904+370,1274
723,13,723+13,736
412,372,412+372,784
289,82,289+82,371
671,230,671+230,901
832,61,832+61,893
478,817,478+817,1295
113,499,113+499,612
266,203,266+203,469
181,120,181+120,301
16,60,16+60,76
59,434,59+434,493
188,799,188+799,987
355,499,355+499,854
494,486,494+486,980
249,394,249+394,643
112,269,112+269,381
640,84,640+84,724
177,930,177+930,1107
478,976,478+976,1454
25,997,25+997,1022
736,828,736+828,1564
47,583,47+583,630
984,541,984+541,1525
824,970,824+970,1794
214,342,214+342,556
511,379,511+379,890
476,127,476+127,603
655,519,655+519,1174
808,69,808+69,877
382,35,382+35,417
686,280,686+280,966
475,751,475+751,1226
29,59,29+59,88
320,493,320+493,813
623,539,623+539,1162
528,508,528+508,1036
866,615,866+615,1481
489,657,489+657,1146
785,579,785+579,1364
220,92,220+92,312
189,540,189+540,729
503,28,503+28,531
648,341,648+341,989
280,746,280+746,1026
172,956,172+956,1128
799,299,799+299,1098
16,137,16+137,153
107,873,107+873,980
789,535,789+535,1324
575,309,575+309,884
700,156,700+156,856
673,322,673+322,995
979,725,979+725,1704
799,498,799+498,1297
83,479,83+479,562
284,814,284+814,1098
418,540,418+540,958
108,888,108+888,996
549,386,549+386,935
494,898,494+898,1392
814,464,814+464,1278
974,645,974+645,1619
762,492,762+492,1254
911,457,911+457,1368
597,621,597+621,1218
450,291,450+291,741
609,734,609+734,1343
436,972,436+972,1408
878,6,878+6,884
749,293,749+293,1042
448,897,448+897,1345
517,968,517+968,1485
640,102,640+102,742
87,470,87+470,557
899,61,899+61,960
973,141,973+141,1114
772,427,772+427,1199
883,238,883+238,1121
434,603,434+603,1037
30,443,30+443,473
750,352,750+352,1102
625,484,625+484,1109
342,366,342+366,708
959,676,959+676,1635
192,650,192+650,842
412,535,412+535,947
765,404,765+404,1169
869,83,869+83,952
646,516,646+516,1162
507,720,507+720,1227
967,416,967+416,1383
357,895,357+895,1252
989,530,989+530,1519
471,845,471+845,1316
497,658,497+658,1155
956,745,956+745,1701
630,426,630+426,1056
146,253,146+253,399
586,7,586+7,593
885,378,885+378,1263
837,656,837+656,1493
735,881,735+881,1616
350,679,350+679,1029
365,213,365+213,578
942,610,942+610,1552
15,551,15+551,566
631,76,631+76,707
9,104,9+104,113
700,511,700+511,1211
943,754,943+754,1697
901,678,901+678,1579
527,212,527+212,739
508,796,508+796,1304
927,872,927+872,1799
160,538,160+538,698
912,434,912+434,1346
632,977,632+977,1609
94,887,94+887,981
950,133,950+133,1083
895,613,895+613,1508
532,509,532+509,1041
492,543,492+543,1035
808,22,808+22,830
95,234,95+234,329
249,855,249+855,1104
530,173,530+173,703
887,803,887+803,1690
855,963,855+963,1818
558,894,558+894,1452
426,735,426+735,1161
853,133,853+133,986
377,28,377+28,405
311,731,311+731,1042
573,177,573+177,750
390,618,390+618,1008
404,813,404+813,1217
263,948,263+948,1211
584,220,584+220,804
662,43,662+43,705
685,19,685+19,704
46,715,46+715,761
563,917,563+917,1480
804,293,804+293,1097
901,918,901+918,1819
148,980,148+980,1128
744,631,744+631,1375
292,272,292+272,564
565,397,565+397,962
437,940,437+940,1377
316,896,316+896,1212
231,612,231+612,843
157,675,157+675,832
867,789,867+789,1656
18,555,18+555,573
194,939,194+939,1133
467,227,467+227,694
12,692,12+692,704
614,281,614+281,895
801,533,801+533,1334
749,614,749+614,1363
581,553,581+553,1134
512,721,512+721,1233
123,346,123+346,469
581,719,581+719,1300
806,167,806+167,973
300,486,300+486,786
237,644,237+644,881
542,810,542+810,1352
503,401,503+401,904
689,270,689+270,959
276,679,276+679,955
659,482,659+482,1141
646,713,646+713,1359
407,642,407+642,1049
836,560,836+560,1396
538,106,538+106,644
932,227,932+227,1159
691,337,691+337,1028
255,344,255+344,599
334,559,334+559,893
185,420,185+420,605
144,910,144+910,1054
741,925,741+925,1666
908,973,908+973,1881
564,457,564+457,1021
449,101,449+101,550
488,647,488+647,1135
750,996,750+996,1746
476,912,476+912,1388
189,351,189+351,540
95,568,95+568,663
431,925,431+925,1356
842,236,842+236,1078
735,714,735+714,1449
97,612,97+612,709
671,220,671+220,891
119,262,119+262,381
877,932,877+932,1809
707,191,707+191,898
955,535,955+535,1490
6,955,6+955,961
788,151,788+151,939
357,452,357+452,809
836,356,836+356,1192
861,695,861+695,1556
111,747,111+747,858
872,639,872+639,1511
695,716,695+716,1411
251,772,251+772,1023
966,918,966+918,1884
345,496,345+496,841
634,607,634+607,1241
941,584,941+584,1525
350,667,350+667,1017
934,824,934+824,1758
23,481,23+481,504
757,7,757+7,764
309,232,309+232,541
567,741,567+741,1308
246,840,246+840,1086
834,563,834+563,1397
905,945,905+945,1850
679,555,679+555,1234
557,241,557+241,798
339,291,339+291,630
379,393,379+393,772
286,763,286+763,1049
279,365,279+365,644
825,182,825+182,1007
190,326,190+326,516
547,322,547+322,869
127,998,127+998,1125
562,233,562+233,795
464,627,464+627,1091
323,807,323+807,1130
780,594,780+594,1374
361,732,361+732,1093
275,591,275+591,866
72,420,72+420,492
383,622,383+622,1005
638,288,638+288,926
316,532,316+532,848
273,354,273+354,627
646,736,646+736,1382
989,284,989+284,1273
846,821,846+821,1667
6,654,6+654,660
945,552,945+552,1497
919,770,919+770,1689
615,356,615+356,971
865,132,865+132,997
670,54,670+54,724
801,832,801+832,1633
34,178,34+178,212
496,923,496+923,1419
23,275,23+275,298
465,991,465+991,1456
297,397,297+397,694
512,267,512+267,779
138,755,138+755,893
636,344,636+344,980
438,152,438+152,590
408,171,408+171,579
10,674,10+674,684
336,893,336+893,1229
863,808,863+808,1671
877,587,877+587,1464
335,165,335+165,500
632,736,632+736,1368
820,512,820+512,1332
753,353,753+353,1106
501,847,501+847,1348
228,389,228+389,617
63,463,63+463,526
234,568,234+568,802
130,459,130+459,589
220,533,220+533,753
945,421,945+421,1366
417,585,417+585,1002
118,202,118+202,320
542,39,542+39,581
977,460,977+460,1437
321,443,321+443,764
33,66,33+66,99
78,691,78+691,769
202,241,202+241,443
461,974,461+974,1435
190,95,190+95,285
382,474,382+474,856
518,809,518+809,1327
82,118,82+118,200
500,988,500+988,1488
989,687,989+687,1676
568,439,568+439,1007
502,291,502+291,793
717,451,717+451,1168
195,762,195+762,957
837,274,837+274,1111
110,843,110+843,953
796,689,796+689,1485
513,718,513+718,1231
903,824,903+824,1727
649,34,649+34,683
456,432,456+432,888
989,705,989+705,1694
892,675,892+675,1567
945,187,945+187,1132
430,876,430+876,1306
160,550,160+550,710
637,332,637+332,969
875,6,875+6,881
446,938,446+938,1384
845,800,845+800,1645
395,184,395+184,579
167,117,167+117,284
580,199,580+199,779
464,832,464+832,1296
338,347,338+347,685
869,860,869+860,1729
500,466,500+466,966
772,805,772+805,1577
703,301,703+301,1004
358,602,358+602,960
268,369,268+369,637
27,306,27+306,333
943,137,943+137,1080
123,384,123+384,507
528,456,528+456,984
296,126,296+126,422
674,14,674+14,688
297,750,297+750,1047
451,68,451+68,519
482,179,482+179,661
810,215,810+215,1025
40,419,40+419,459
242,136,242+136,378
694,214,694+214,908
186,515,186+515,701
18,117,18+117,135
876,37,876+37,913
35,786,35+786,821
780,744,780+744,1524
518,792,518+792,1310
929,264,929+264,1193
583,425,583+425,1008
985,71,985+71,1056
596,109,596+109,705
907,196,907+196,1103
211,2,211+2,213
891,35,891+35,926
320,466,320+466,786
960,680,960+680,1640
221,976,221+976,1197
145,67,145+67,212
330,477,330+477,807
182,77,182+77,259
927,62,927+62,989
3,483,3+483,486
263,833,263+833,1096
467,294,467+294,761
701,304,701+304,1005
555,187,555+187,742
530,362,530+362,892
948,84,948+84,1032
394,885,394+885,1279
904,281,904+281,1185
941,396,941+396,1337
467,505,467+505,972
494,639,494+639,1133
912,483,912+483,1395
74,7,74+7,81
670,352,670+352,1022
209,67,209+67,276
870,714,870+714,1584
519,934,519+934,1453
172,237,172+237,409
164,786,164+786,950
986,499,986+499,1485
278,981,278+981,1259
824,598,824+598,1422
672,757,672+757,1429
822,664,822+664,1486
715,961,715+961,1676
617,81,617+81,698
936,434,936+434,1370
674,33,674+33,707
243,28,243+28,271
582,824,582+824,1406
741,97,741+97,838
652,926,652+926,1578
284,230,284+230,514
116,898,116+898,1014
21,482,21+482,503
954,797,954+797,1751
106,367,106+367,473
441,10,441+10,451
946,418,946+418,1364
785,127,785+127,912
841,840,841+840,1681
436,18,436+18,454
222,593,222+593,815
432,553,432+553,985
68,261,68+261,329
118,679,118+679,797
195,926,195+926,1121
646,638,646+638,1284
71,908,71+908,979
576,397,576+397,973
60,651,60+651,711
504,616,504+616,1120
517,712,517+712,1229
85,839,85+839,924
927,37,927+37,964
592,310,592+310,902
955,900,955+900,1855
159,409,159+409,568
549,184,549+184,733
52,8,52+8,60
619,378,619+378,997
286,772,286+772,1058
70,533,70+533,603
681,709,681+709,1390
475,445,475+445,920
741,979,741+979,1720
956,782,956+782,1738
183,297,183+297,480
1,866,1+866,867
273,1,273+1,274
58,956,58+956,1014
159,556,159+556,715
401,665,401+665,1066
957,763,957+763,1720
156,346,156+346,502
817,596,817+596,1413
402,530,402+530,932
80,461,80+461,541
985,786,985+786,1771
845,920,845+920,1765
580,750,580+750,1330
460,757,460+757,1217
207,966,207+966,1173
96,629,96+629,725
168,44,168+44,212
138,83,138+83,221
894,145,894+145,1039
22,717,22+717,739
946,494,946+494,1440
1,979,1+979,980
656,945,656+945,1601
332,770,332+770,1102
634,603,634+603,1237
142,949,142+949,1091
115,66,115+66,181
789,222,789+222,1011
634,38,634+38,672
313,288,313+288,601
264,627,264+627,891
2,555,2+555,557
930,73,930+73,1003
647,363,647+363,1010
903,34,903+34,937
284,569,284+569,853
603,200,603+200,803
749,10,749+10,759
347,402,347+402,749
828,880,828+880,1708
367,956,367+956,1323
501,442,501+442,943
903,823,903+823,1726
288,321,288+321,609
269,94,269+94,363
190,722,190+722,912
992,162,992+162,1154
945,909,945+909,1854
792,166,792+166,958
878,855,878+855,1733
940,924,940+924,1864
245,273,245+273,518
549,589,549+589,1138
687,114,687+114,801
499,847,499+847,1346
722,815,722+815,1537
626,13,626+13,639
596,258,596+258,854
152,496,152+496,648
781,860,781+860,1641
887,489,887+489,1376
540,489,540+489,1029
907,415,907+415,1322
810,503,810+503,1313
590,206,590+206,796
106,819,106+819,925
474,307,474+307,781
909,51,909+51,960
820,129,820+129,949
120,969,120+969,1089
376,914,376+914,1290
920,118,920+118,1038
120,312,120+312,432
89,401,89+401,490
983,407,983+407,1390
981,362,981+362,1343
116,629,116+629,745
71,169,71+169,240
295,609,295+609,904
590,653,590+653,1243
990,538,990+538,1528
691,799,691+799,1490
561,480,561+480,1041
729,686,729+686,1415
885,273,885+273,1158
957,702,957+702,1659
220,504,220+504,724
466,115,466+115,581
831,824,831+824,1655
15,604,15+604,619
612,313,612+313,925
938,964,938+964,1902
870,110,870+110,980
74,78,74+78,152
200,204,200+204,404
464,13,464+13,477
869,397,869+397,1266
667,502,667+502,1169
350,268,350+268,618
678,765,678+765,1443
450,770,450+770,1220
855,444,855+444,1299
124,444,124+444,568
815,770,815+770,1585
987,31,987+31,1018
320,20,320+20,340
782,942,782+942,1724
591,865,591+865,1456
177,607,177+607,784
676,981,676+981,1657
812,416,812+416,1228
939,341,939+341,1280
285,617,285+617,902
107,742,107+742,849
168,781,168+781,949
919,165,919+165,1084
21,115,21+115,136
169,667,169+667,836
646,255,646+255,901
200,919,200+919,1119
620,743,620+743,1363
614,680,614+680,1294
650,149,650+149,799
957,803,957+803,1760
531,794,531+794,1325
503,504,503+504,1007
595,928,595+928,1523
47,590,47+590,637
432,792,432+792,1224
231,992,231+992,1223
23,978,23+978,1001
569,169,569+169,738
169,630,169+630,799
546,604,546+604,1150
997,263,997+263,1260
95,661,95+661,756
16,283,16+283,299
794,370,794+370,1164
513,307,513+307,820
443,52,443+52,495
504,62,504+62,566
703,889,703+889,1592
575,383,575+383,958
795,528,795+528,1323
866,502,866+502,1368
339,651,339+651,990
656,304,656+304,960
644,9,644+9,653
253,390,253+390,643
993,426,993+426,1419
870,932,870+932,1802
409,785,409+785,1194
557,140,557+140,697
105,833,105+833,938
358,963,358+963,1321
80,54,80+54,134
186,912,186+912,1098
995,560,995+560,1555
159,355,159+355,514
396,311,396+311,707
675,229,675+229,904
326,932,326+932,1258
84,465,84+465,549
144,567,144+567,711
569,340,569+340,909
914,420,914+420,1334
394,387,394+387,781
565,26,565+26,591
855,581,855+581,1436
515,401,515+401,916
373,602,373+602,975
692,237,692+237,929
46,635,46+635,681
887,645,887+645,1532
509,419,509+419,928
358,117,358+117,475
685,189,685+189,874
992,364,992+364,1356
431,142,431+142,573
907,511,907+511,1418
169,111,169+111,280
317,587,317+587,904
878,991,878+991,1869
722,682,722+682,1404
324,379,324+379,703
930,618,930+618,1548
370,499,370+499,869
343,705,343+705,1048
18,864,18+864,882
216,777,216+777,993
993,100,993+100,1093
115,455,115+455,570
912,6,912+6,918
603,290,603+290,893
444,767,444+767,1211
616,899,616+899,1515
406,555,406+555,961
148,182,148+182,330
292,478,292+478,770
326,505,326+505,831
183,447,183+447,630
444,372,444+372,816
869,155,869+155,1024
8,254,8+254,262
897,59,897+59,956
73,384,73+384,457
221,875,221+875,1096
615,358,615+358,973
706,612,706+612,1318
235,468,235+468,703
58,711,58+711,769
93,292,93+292,385
869,861,869+861,1730
85,713,85+713,798
305,879,305+879,1184
759,401,759+401,1160
418,500,418+500,918
176,27,176+27,203
664,912,664+912,1576
538,635,538+635,1173
992,75,992+75,1067
488,796,488+796,1284
651,83,651+83,734
374,622,374+622,996
184,516,184+516,700
201,734,201+734,935
633,727,633+727,1360
628,241,628+241,869
96,165,96+165,261
468,822,468+822,1290
329,767,329+767,1096
672,160,672+160,832
662,928,662+928,1590
366,804,366+804,1170
836,258,836+258,1094
60,841,60+841,901
280,457,280+457,737
292,841,292+841,1133
809,585,809+585,1394
180,268,180+268,448
216,566,216+566,782
241,476,241+476,717
954,836,954+836,1790
845,107,845+107,952
304,785,304+785,1089
22,24,22+24,46
570,187,570+187,757
660,535,660+535,1195
212,244,212+244,456
350,53,350+53,403
980,517,980+517,1497
493,517,493+517,1010
559,23,559+23,582
850,787,850+787,1637
981,467,981+467,1448
762,347,762+347,1109
23,580,23+580,603
26,175,26+175,201
637,362,637+362,999
60,820,60+820,880
317,154,317+154,471
496,278,496+278,774
145,853,145+853,998
929,728,929+728,1657
795,532,795+532,1327
9,829,9+829,838
583,787,583+787,1370
10,801,10+801,811
525,535,525+535,1060
764,648,764+648,1412
234,521,234+521,755
742,559,742+559,1301
402,288,402+288,690
634,405,634+405,1039
378,318,378+318,696
199,539,199+539,738
904,479,904+479,1383
860,360,860+360,1220
69,836,69+836,905
196,853,196+853,1049
897,399,897+399,1296
13,358,13+358,371
161,960,161+960,1121
235,362,235+362,597
69,495,69+495,564
836,165,836+165,1001
314,976,314+976,1290
554,974,554+974,1528
878,929,878+929,1807
495,48,495+48,543
43,81,43+81,124
643,163,643+163,806
90,982,90+982,1072
94,347,94+347,441
242,812,242+812,1054
751,582,751+582,1333
6,567,6+567,573
766,270,766+270,1036
297,600,297+600,897
2,904,2+904,906
59,772,59+772,831
543,552,543+552,1095
519,118,519+118,637
785,168,785+168,953
897,370,897+370,1267
516,602,516+602,1118
123,173,123+173,296
707,121,707+121,828
417,441,417+441,858
41,437,41+437,478
8,755,8+755,763
537,336,537+336,873
689,617,689+617,1306
759,744,759+744,1503
847,926,847+926,1773
986,664,986+664,1650
202,755,202+755,957
519,726,519+726,1245
270,467,270+467,737
683,439,683+439,1122
255,439,255+439,694
49,106,49+106,155
250,275,250+275,525
396,581,396+581,977
840,802,840+802,1642
519,778,519+778,1297
674,604,674+604,1278
203,965,203+965,1168
379,368,379+368,747
540,463,540+463,1003
692,501,692+501,1193
365,727,365+727,1092
531,421,531+421,952
691,248,691+248,939
949,803,949+803,1752
156,839,156+839,995
934,896,934+896,1830
234,819,234+819,1053
965,107,965+107,1072
528,726,528+726,1254
650,74,650+74,724
182,945,182+945,1127
219,49,219+49,268
624,816,624+816,1440
793,239,793+239,1032
84,115,84+115,199
347,714,347+714,1061
225,912,225+912,1137
649,850,649+850,1499
857,769,857+769,1626
127,703,127+703,830
16,540,16+540,556
998,975,998+975,1973
528,37,528+37,565
187,871,187+871,1058
304,960,304+960,1264
452,475,452+475,927
147,196,147+196,343
458,364,458+364,822
689,488,689+488,1177
172,493,172+493,665
590,396,590+396,986
635,552,635+552,1187
725,927,725+927,1652
661,419,661+419,1080
611,694,611+694,1305
616,834,616+834,1450
722,191,722+191,913
68,917,68+917,985
434,772,434+772,1206
72,251,72+251,323
284,675,284+675,959
110,846,110+846,956
397,388,397+388,785
233,259,233+259,492
700,487,700+487,1187
211,89,211+89,300
654,579,654+579,1233
668,971,668+971,1639
907,492,907+492,1399
911,367,911+367,1278
975,533,975+533,1508
172,171,172+171,343
811,588,811+588,1399
581,799,581+799,1380
714,358,714+358,1072
760,563,760+563,1323
336,666,336+666,1002
84,655,84+655,739
75,853,75+853,928
990,160,990+160,1150
854,69,854+69,923
503,985,503+985,1488
320,435,320+435,755
602,519,602+519,1121
147,493,147+493,640
999,698,999+698,1697
207,944,207+944,1151
156,108,156+108,264
5,899,5+899,904
80,416,80+416,496
621,277,621+277,898
941,682,941+682,1623
975,858,975+858,1833
874,291,874+291,1165
481,735,481+735,1216
53,394,53+394,447
641,608,641+608,1249
349,971,349+971,1320
516,208,516+208,724
379,728,379+728,1107
